title,address,lat,lng,link,category,body
Maine Animal Coalition's Annual Vegetarian Food Festival,"Portland, ME, USA",,,http://www.maineanimalcoalition.org/vegetarian-food-festival,outdoor,map
Albany VegFest,"Albany, NY, USA",,,http://www.albanyvegfest.org/,outdoor,map
Brighton Vegan Summer Festival,"Brighton, UK",,,http://vegansummerfestuk.com/,outdoor,map
Lancaster VegFest,"Lancaster, PA, USA",,,http://pavegfest.com/,outdoor,map
Triad Veg Fest,"Greensboro, NC, USA",,,http://www.triadvegfest.org/,outdoor,map
Veganmania,"Wien, AUSTRIA",,,http://www.veganmania.at/,outdoor,map
Philly VegFest,"Philadelphia, PA, USA",,,phillyvegfest.com,outdoor,map
VegFest LT,"Vilnius, LITHUANIA",,,n/a,outdoor,map
Asheville VeganFest,"Asheville, NC, USA",,,https://veganfest.bwar.org/,outdoor,map
Rehoboth Beach VegFest ,"Rehoboth, DE, USA",,,http://rehobothvegfest.org/,outdoor,map
Dublin Yoga and Vegan Festival,"Dublin, IRELAND",,,n/a,outdoor,map
South Bay VegFair,"San Jose, CA, USA",,,https://www.summerveg.com/,outdoor,map
Great Yorkshire Vegan Festival,"Leeds, UK",,,http://www.yorkshireveganfestival.com/,outdoor,map
VegFest Calgary,"Calgary, AB, CANADA",,,http://www.vegfestcalgary.com/,outdoor,map
Tri-State VegFest,"Edison, NJ, USA",,,http://vegfestexpos.com,outdoor,map
Greater London Vegan Festival,"London, UK",,,https://www.greaterlondonveganfestival.com/tickets.html,outdoor,map
Richmond Vegetarian Festival (VA) ,"Richmond, VA, USA",,,http://veggiefest.org/,outdoor,map
Chicago Vegandale Food Drink Festival,"Chicago, IL, USA",,,www.vegandalefest.com,outdoor,map
Stockport Viva! Vegan Festival,"Stockport, UK",,,https://www.viva.org.uk/festivals/stockport-2018,outdoor,map
South East Vegan Festival,"Portsmouth, UK",,,http://www.southeastveganfestival.com/,outdoor,map
Newcastle upon Tyne Vegan Festival,"Newcastle Upon Tyne, UK",,,http://veganfestival.co.uk/#arvlbdata,outdoor,map
Vegetarian Summerfest NAVS,"Johnstown, PA, USA",,,https://summerfest.navs-online.org/,outdoor,map
V In The Park,"Port of Menteith, SCOTLAND",,,TK,outdoor,map
Vegan Food Festival Amsterdam,"Amsterdam, NETHERLANDS",,,TK,outdoor,map
Long Beach Vegan Festival,"Long Beach, CA, USA",,,http://www.lbveganfest.com/,outdoor,map
Aberdeen Vegan Festival [early year],"Aberdeen, SCOTLAND",,,veganfestival.co.uk,outdoor,map
Sarnia VegFest,"Sarnia, ON, CANADA",,,http://sarniavegfest.com/,outdoor,map
Aberdeen Vegan Festival [latter year],"Aberdeen, SCOTLAND",,,veganfestival.co.uk,outdoor,map
Saltaire-Bradford All-Vegan Festival,"Bradford, UK",,,n/a,outdoor,map
Atlantic City Vegan Food Festival,"Atlantic City, NJ, USA",,,http://www.njvegfest.com,outdoor,map
Bethlehem VegFest,"Bethlehem, PA, USA",,,http://www.downtownbethlehemassociation.com/events/vegfest,outdoor,map
London Vegan Beer Fest,"London, UK",,,http://veganbeerfest.co.uk/,outdoor,map
Funky Vegan Festival,"Amsterdam, NETHERLANDS",,,TK,outdoor,map
