id,title,address,lat,lng,link,category,body,createdAt,updatedAt,
91,Houston Vegandale Food Drink Festival,"Houston, TX, USA",,,www.vegandalefest.com,@vegandale,,,,
92,Ottawa Veg Fest,"Ottawa, ON, CANADA",,,http://www.vegfest.ca/,n/a,,,,
93,Maine Animal Coalition's Annual Vegetarian Food Festival,"Portland, ME, USA",,,http://www.maineanimalcoalition.org/vegetarian-food-festival,@maine.animal.coalition,,,,
94,Albany VegFest,"Albany, NY, USA",,,http://www.albanyvegfest.org/,n/a,,,,
95,Brighton Vegan Summer Festival,"Brighton, UK",,,http://vegansummerfestuk.com/,n/a,,,,
96,Lancaster VegFest,"Lancaster, PA, USA",,,http://pavegfest.com/,@pavegfest,,,,
97,Triad Veg Fest,"Greensboro, NC, USA",,,http://www.triadvegfest.org/,@triadvegfest,,,,
98,Veganmania,"Wien, AUSTRIA",,,http://www.veganmania.at/,n/a,,,,
99,Philly VegFest,"Philadelphia, PA, USA",,,phillyvegfest.com,TK,,,,
100,VegFest LT,"Vilnius, LITHUANIA",,,n/a,@vegfestlt,,,,
101,Asheville VeganFest,"Asheville, NC, USA",,,https://veganfest.bwar.org/,@brotherwolfanimalrescue,,,,
102,Rehoboth Beach VegFest ,"Rehoboth, DE, USA",,,http://rehobothvegfest.org/,n/a,,,,
103,Dublin Yoga and Vegan Festival,"Dublin, IRELAND",,,n/a,@yogific,,,,
104,South Bay VegFair,"San Jose, CA, USA",,,https://www.summerveg.com/,n/a,,,,
105,Great Yorkshire Vegan Festival,"Leeds, UK",,,http://www.yorkshireveganfestival.com/,n/a,,,,
106,VegFest Calgary,"Calgary, AB, CANADA",,,http://www.vegfestcalgary.com/,@vegfestcalgary,,,,
107,Tri-State VegFest,"Edison, NJ, USA",,,http://vegfestexpos.com,@vegfestexpos,,,,
108,Greater London Vegan Festival,"London, UK",,,https://www.greaterlondonveganfestival.com/tickets.html,n/a,,,,
109,Richmond Vegetarian Festival (VA) ,"Richmond, VA, USA",,,http://veggiefest.org/,@rvavegfest,,,,
110,Chicago Vegandale Food Drink Festival,"Chicago, IL, USA",,,www.vegandalefest.com,@vegandale,,,,
111,Stockport Viva! Vegan Festival,"Stockport, UK",,,https://www.viva.org.uk/festivals/stockport-2018,@vivacharity,,,,
112,South East Vegan Festival,"Portsmouth, UK",,,http://www.southeastveganfestival.com/,n/a,,,,
113,Newcastle upon Tyne Vegan Festival,"Newcastle Upon Tyne, UK",,,http://veganfestival.co.uk/#arvlbdata,n/a,,,,
114,Vegetarian Summerfest NAVS,"Johnstown, PA, USA",,,https://summerfest.navs-online.org/,n/a,,,,
115,V In The Park,"Port of Menteith, SCOTLAND",,,TK,@vinthepark,,,,
116,Vegan Food Festival Amsterdam,"Amsterdam, NETHERLANDS",,,TK,TK,,,,
117,Long Beach Vegan Festival,"Long Beach, CA, USA",,,http://www.lbveganfest.com/,n/a,,,,
118,Aberdeen Vegan Festival [early year],"Aberdeen, SCOTLAND",,,veganfestival.co.uk,@veganfestivaluk,,,,
119,Sarnia VegFest,"Sarnia, ON, CANADA",,,http://sarniavegfest.com/,@sarniavegfest,,,,
120,Aberdeen Vegan Festival [latter year],"Aberdeen, SCOTLAND",,,veganfestival.co.uk,@veganfestivaluk,,,,
121,Saltaire-Bradford All-Vegan Festival,"Bradford, UK",,,n/a,n/a,,,,
122,Atlantic City Vegan Food Festival,"Atlantic City, NJ, USA",,,http://www.njvegfest.com,@njvegfest,,,,
123,Bethlehem VegFest,"Bethlehem, PA, USA",,,http://www.downtownbethlehemassociation.com/events/vegfest,n/a,,,,
124,London Vegan Beer Fest,"London, UK",,,http://veganbeerfest.co.uk/,@veganbeerfestuk,,,,
125,Funky Vegan Festival,"Amsterdam, NETHERLANDS",,,TK,@funkyveganfestival,,,,
126,Viva!City Bristol Ethical Life Festival,"Bristol, UK",,,https://www.viva.org.uk/festivals/bristol-vivacity-2018,TK,,,,
127,Blackpool Yoga and Vegan Festival,"Blackpool, UK",,,n/a,@yogific,,,,
128,VegFest Houston,"Houston, TX, USA",,,www.VegFestHouston.com,@VeganSocietyofPEACE,,,,
129,Plymouth Vegan Festival,"Plymouth, UK",,,n/a,n/a,,,,
130,We Love Vegan Food,"London, UK",,,https://welovefood.co/vegan-food-festival/,TK,,,,
131,Vegtoria Veg Fest,"Victoria, BC, CANADA",,,http://www.vegtoria.ca/,TK,,,,
132,Compassionfest,"Hamden, CT, USA",,,http://www.compassionfest.net/,@compassionfest,,,,
133,VegOut! Portland Vegan Beer & Food Festival,"Portland, OR, USA",,,http://vegoutevents.com/,n/a,,,,
134,Milton Keynes Vegan Festival,"Milton Keynes, UK",,,n/a,n/a,,,,
135,VegFest Colorado,"Golden, CO, USA",,,http://www.vegfestcolorado.org/home.html,@vegfestco,,,,
136,Spokane Vegfest,"Spokane, WA, USA",,,http://www.inveg.org/vegfest.html,@invegans,,,,
137,Coventry Vegan Beer Fest,"Manchester, UK",,,http://veganbeerfest.co.uk/,@veganbeerfestuk,,,,
138,Maidstone Vegan Festival,"Maidstone, Kent, UK",,,http://www.maidstoneveganfestival.co.uk/,n/a,,,,
139,Bath Vegan Festival,"Bath, UK",,,n/a,n/a,,,,
140,Coventry Viva! Vegan Festival,"Coventry, UK",,,https://www.viva.org.uk/festivals/coventry-2018,@vivacharity,,,,
141,Pittsburgh VegFest,"Pittsburgh, PA, USA",,,https://pittsburghvegfest.org/,@pittsburghvegfest,,,,
142,Glasgow Vegan Beer Fest,"Glasgow, SCOTLAND",,,http://veganbeerfest.co.uk/,@veganbeerfestuk,,,,
143,Vegan Connections,"Glasgow, SCOTLAND",,,n/a,@veganconnections,,,,
144,Toronto Vegandale Food Drink Festival,"Toronto, ON, CANADA",,,www.vegandalefest.com,@vegandale,,,,
145,Quad Cities Vegfest,"Rock Island, IL, USA",,,TK,TK,,,,
146,Black Vegfest,"Brooklyn, NY",,,https://blackvegfest.org/,@blackvegfest,,,,
147,Muskoka Veg Fest,"Huntsville, ON, Canada",,,http://www.muskokavegfest.com/,@muskokavegfest,,,,
148,Satvik Indian Vegan Festival,"Karnataka, INDIA",,,http://vgan.in/vegan_festival,n/a,,,,
149,VeganFestLV,"Riga, Latvia",,,http://www.veganfest.lv/,@veganfestlv,,,,
150,VegFest Kansas City,"Kansas City, MO, USA",,,vegfestkc.com,@vegfestkc,,,,
151,Triangle Vegfest,"Durham, NC, USA",,,http://www.trianglevegfest.com/,@TriangleVegfest ,,,,
152,St. John's VegFest,"St. John's, NL, CANADA",,,http://www.stjohnsvegfest.com/,@stjohnsvegfest,,,,
153,Sonoma County VegFest,"Santa Rosa, CA, USA",,,http://www.socovegfest.org/,n/a,,,,
154,Sheffield Vegan Beer Fest,"Sheffield, UK",,,http://veganbeerfest.co.uk/,@veganbeerfestuk,,,,
155,Triangle Vegfest,"Durham, NC, USA",,,http://www.trianglevegfest.com/,@TriangleVegfest ,,,,
156,Vegan SoulFest,"Baltimore, MD, USA",,,http://www.vegansoulfest.com/,@vegansoulfest,,,,
157,Veganes Sommerfest Berlin,"Berlin, GERMANY",,,www.veganes-sommerfest-berlin.de,@veganes_sommerfest_berlin,,,,
158,Vegan Street Fair LA Nights,"Los Angeles, CA, USA",,,http://www.veganstreetfair.com,@VeganStreetFair,,,,
159,Bradford Vegan Festival,"Bradford, UK",,,veganfestival.co.uk,@veganfestivaluk,,,,
160,Veg Food Fest,"Toronto, ON, CANADA",,,http://vegfoodfest.com/,@VegFoodFest,,,,
161,Vahimsa Vegan Camp,"Shamokin, PA",,,www.vahimsa.com,TK,,,,
162,Portsmouth Vegan Festival,"Portsmouth, UK",,,n/a,n/a,,,,
163,Birmingham Viva! Vegan Festival,"Birmingham, UK",,,https://www.viva.org.uk/festivals/birmingham-2018,@vivacharity,,,,
164,PlantBased Live,"London, UK",,,https://www.plantbasedlive.com/,@plantbased_live,,,,
165,Chattanooga Vegfest,"Chattanooga, TN, USA",,,https://www.facebook.com/Chattanooga-Vegfest-1246557278782440/,TK,,,,
166,SLC VegFest,"Salt Lake City, UT, USA",,,https://slcveg.com/,@slcveg,,,,
167,NEPA VegFest,"Scranton, PA, USA",,,NEPAvegfest.org,n/a,,,,
168,Dorset Vegan Festival,"Dorset, UK",,,https://www.veganeventsuk.co.uk/,TK,,,,
169,Winnipeg Vegfest,"Winnipeg, MB, CANADA",,,http://winnipegvegfest.ca/,@winnipegvegfest,,,,
170,Sheffield Vegan Festival,"Sheffield, UK",,,http://veganfestival.co.uk/#arvlbdata,@veganfestivaluk,,,,
171,Rochester VegFest,"Rochester, NY, USA",,,http://rocvegfest.org/,@rochestervegfest,,,,
172,D.C. VegFest,"Washington, DC, USA",,,http://dcvegfest.com/,@dcvegfest,,,,
173,Frome Vegan Fair,"Somerset, UK",,,n/a,@fromeveganfair,,,,
